productId,title_uz,title_ru,price,rating,feedbackCount,url
2851241,KEMEI KM-2299 soch va soqol olish trimmer mashinasi,Триммер машинка для стрижки волос и бороды KEMEI KM-2299,229000,4,16,https://uzum.uz/uz/product/2851241
1763420,"Soch va soqol kesish mashinkasi Kemei KM2269,KM2284,KM2282,KM431,KMT98,KM1325,KM1840","Машинка для стрижки волос и бороды Кемей KM2269,KM2284,KM2282,KM431,KMT98,KM1325,KM1840",183330,4.9,27,https://uzum.uz/uz/product/1763420
2434587,Kemei KM-2299 professional simsiz soch olish mashinkasi,Kemei KM-2299 профессиональная беспроводная машинка для стрижки,229000,5,2,https://uzum.uz/uz/product/2434587
2851146,"Trimmer soch olish mashinasi KEMEI KM-1819, soqol uchun",Триммер машинка для стрижки волос и бороды KEMEI KM-1819,285000,4.3,6,https://uzum.uz/uz/product/2851146
3044050,Kemei KM-T93 elektr soqol oldirgichi,Электробритва Kemei KM-T93,316800,0,0,https://uzum.uz/uz/product/3044050
2861482,"Professional soch olish mashinkasi Kemei KM-1551, trimmer, 6 ta nasadka bilan","Профессиональная машинка для стрижки Kemei KM-1551, триммер для бороды и усов",184300,5,2,https://uzum.uz/uz/product/2861482
2863214,Trimmer soch va soqol olish Kemei KM-1361,Триммер  для стрижки волос и бороды Kemei KM-1361,159000,0,0,https://uzum.uz/uz/product/2863214
3140770,Soch va soqol olish/tekislash mashinkasi KEMEI KM-1819,Триммер машинка для стрижки волос и бороды KEMEI KM-1819,360000,0,0,https://uzum.uz/uz/product/3140770
1763420,"Soch va soqol kesish mashinkasi Kemei KM2269,KM2284,KM2282,KM431,KMT98,KM1325,KM1840","Машинка для стрижки волос и бороды Кемей KM2269,KM2284,KM2282,KM431,KMT98,KM1325,KM1840",125130,4.9,27,https://uzum.uz/uz/product/1763420
2533826,"Soch olish mashinkasi Kemei, professional trimmer, KM-2269 KM-291 KM-264 KM-999 KM-1710","Машинка для стрижки волос Kemei, профессиональный триммер, KM-2269 KM-291 KM-264 KM-999",200920,0,0,https://uzum.uz/uz/product/2533826
